Src IP,Dst IP,Start Time,End Time,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd IAT Mean,Bwd IAT Mean,Fwd Header Length,Bwd Header Length,Average Packet Size,Subflow Fwd Bytes,ML_Label
172.21.202.48,172.21.202.182,1763024013.8310173,1763024013.8310173,8080,0.0,1,0,54,0,54,54,54.0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,54.0,54,PortScan
172.21.202.48,172.21.202.182,1763024013.8310194,1763024013.8310194,22,0.0,1,0,54,0,54,54,54.0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,54.0,54,PortScan
172.21.202.48,172.21.202.182,1763024013.8310177,1763024013.8310177,256,0.0,1,0,54,0,54,54,54.0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,54.0,54,PortScan
172.21.202.48,172.21.202.182,1763024013.8310196,1763024013.8310196,5900,0.0,1,0,54,0,54,54,54.0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,54.0,54,PortScan
172.21.202.48,172.21.202.182,1763024013.8310196,1763024013.8310196,993,0.0,1,0,54,0,54,54,54.0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,54.0,54,PortScan
172.21.202.48,172.21.202.182,1763024013.8310196,1763024013.8310196,111,0.0,1,0,54,0,54,54,54.0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,54.0,54,PortScan
172.21.202.48,172.21.202.182,1763024013.8310628,1763024013.8310628,113,0.0,1,0,54,0,54,54,54.0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,54.0,54,PortScan
172.21.202.48,172.21.202.182,1763024013.8310642,1763024013.8310642,554,0.0,1,0,54,0,54,54,54.0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,54.0,54,PortScan
172.21.202.48,172.21.202.182,1763024013.8310642,1763024013.8310642,8888,0.0,1,0,54,0,54,54,54.0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,54.0,54,PortScan
172.21.202.48,172.21.202.182,1763024013.8310754,1763024013.8310754,25,0.0,1,0,54,0,54,54,54.0,0,0,0.0,0.0,0.0,0.0,0.0,20,0,54.0,54,PortScan
172.21.202.48,172.21.202.182,1763024014.213638,1763024027.220741,0,13.007102966308594,14,14,1372,1372,98,98,98.0,98,98,98.0,210.96165741961104,2.1526699736695005,1.0005413752335768,1.000541852070735,0,0,98.0,1372,PortScan
172.21.202.182,172.21.202.180,1763024014.2442553,1763024019.5707486,53,5.326493263244629,2,1,160,138,80,80,80.0,138,138,138.0,55.94675244524266,0.5632223400527785,5.2499072551727295,0.0,16,8,99.33333333333333,160,BENIGN
172.65.251.78,172.21.202.182,1763024014.2883792,1763024026.198712,48976,11.910332918167114,5,5,630,330,126,126,126.0,66,66,66.0,80.60228094343938,0.8396070931608269,2.97756689786911,2.9775688648223877,160,160,96.0,630,BENIGN
